"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2018","531.00","520.75","531.75","517.25","91.16K","1.82%"
"05/22/2018","521.50","505.50","530.25","502.75","121.34K","2.81%"
"05/21/2018","507.25","523.00","525.50","504.25","101.86K","-2.12%"
"05/18/2018","518.25","497.50","518.75","495.25","98.78K","4.17%"
"05/17/2018","497.50","496.00","505.00","495.00","68.13K","0.66%"
"05/16/2018","494.25","493.75","498.75","491.00","56.23K","0.15%"
"05/15/2018","493.50","490.50","496.25","486.25","74.72K","2.71%"
"05/14/2018","480.50","479.25","479.25","479.25","0.02K","-1.84%"
"05/11/2018","489.50","503.25","505.25","497.00","0.03K","-3.59%"
"05/10/2018","507.75","515.75","515.75","515.75","0.06K","-1.31%"
"05/09/2018","514.50","508.00","511.00","508.00","0.03K","-0.63%"
"05/08/2018","517.75","515.50","516.50","515.50","0.01K","0.73%"
"05/07/2018","514.00","515.00","515.00","515.00","0.07K","-2.56%"
"05/04/2018","527.50","537.00","537.00","529.50","0.12K","-2.41%"
"05/03/2018","540.50","525.75","540.00","521.50","0.19K","2.81%"
"05/02/2018","525.75","525.00","533.25","522.50","0.17K","-0.76%"
"05/01/2018","529.75","511.25","529.75","510.25","0.55K","3.37%"
"04/30/2018","512.50","500.00","515.50","499.75","2.35K","3.43%"
"04/27/2018","495.50","484.00","495.75","480.25","16.63K","3.07%"
"04/26/2018","480.75","485.25","491.50","476.50","23.00K","-1.13%"
"04/25/2018","486.25","473.00","488.50","472.25","28.84K","2.91%"
"04/24/2018","472.50","461.25","473.00","455.50","29.31K","2.38%"
"04/23/2018","461.50","464.25","469.00","458.75","56.90K","-0.38%"
"04/20/2018","463.25","476.25","476.75","462.25","47.33K","-2.83%"
"04/19/2018","476.75","477.50","480.00","471.75","43.87K","0.32%"
"04/18/2018","475.25","466.25","476.00","465.50","51.50K","1.93%"
"04/17/2018","466.25","463.75","470.75","461.50","55.33K","0.87%"
"04/16/2018","462.25","466.50","470.25","461.50","81.26K","-2.17%"
"04/13/2018","472.50","480.25","481.25","469.50","63.77K","-1.77%"
"04/12/2018","481.00","483.50","484.75","474.75","80.17K","-1.28%"
"04/11/2018","487.25","491.00","492.00","483.00","101.29K","-0.97%"
"04/10/2018","492.00","492.00","494.00","481.75","130.24K","0.25%"
"04/09/2018","490.75","478.00","493.75","474.75","133.94K","3.92%"
"04/06/2018","472.25","461.50","472.75","459.25","76.59K","1.61%"
"04/05/2018","464.75","458.00","466.00","456.50","73.15K","1.97%"
"04/04/2018","455.75","457.00","461.50","447.00","94.46K","-0.38%"
"04/03/2018","457.50","448.50","463.50","448.25","99.83K","2.52%"
"04/02/2018","446.25","454.25","457.25","445.75","67.07K","-1.05%"
"03/29/2018","451.00","447.50","455.75","441.50","89.82K","1.23%"
"03/28/2018","445.50","449.50","452.50","444.50","55.98K","-0.78%"
"03/27/2018","449.00","454.25","457.50","448.75","57.98K","-1.16%"
"03/26/2018","454.25","462.50","463.75","451.25","65.96K","-1.30%"
"03/23/2018","460.25","455.25","461.75","446.50","78.52K","0.99%"
"03/22/2018","455.75","453.50","459.75","451.25","64.10K","0.50%"
"03/21/2018","453.50","453.50","454.50","446.75","79.01K","0.11%"
"03/20/2018","453.00","452.50","457.50","450.00","92.60K","0.50%"
"03/19/2018","450.75","465.00","466.00","450.25","109.99K","-3.63%"
"03/16/2018","467.75","478.75","482.25","467.00","83.13K","-2.30%"
"03/15/2018","478.75","488.75","493.25","476.00","76.23K","-3.43%"
"03/14/2018","495.75","485.00","496.50","485.00","0.01K","2.11%"
"03/13/2018","485.50","494.50","503.25","493.00","0.04K","-0.87%"
"03/12/2018","489.75","486.00","486.00","483.50","0.06K","0.15%"
"03/09/2018","489.00","495.00","495.00","486.00","0.29K","-1.16%"
"03/08/2018","494.75","495.25","495.75","491.00","0.12K","0.35%"
"03/07/2018","493.00","505.00","505.00","493.00","0.22K","-1.79%"
"03/06/2018","502.00","498.75","501.75","494.00","0.20K","-0.05%"
"03/05/2018","502.25","497.00","501.75","493.00","0.37K","2.08%"
"03/02/2018","492.00","506.25","506.25","489.00","0.50K","-2.67%"
"03/01/2018","505.50","491.25","506.25","482.75","0.91K","4.33%"
"02/28/2018","484.50","464.50","487.50","464.00","5.72K","4.59%"
"02/27/2018","463.25","462.00","465.75","460.25","32.83K","0.82%"
"02/26/2018","459.50","458.50","464.00","455.75","51.73K","1.60%"
"02/23/2018","452.25","452.00","456.25","451.50","51.46K","0.22%"
"02/22/2018","451.25","447.75","452.00","444.75","47.64K","0.89%"
"02/21/2018","447.25","450.00","452.00","445.50","76.89K","-0.45%"
"02/20/2018","449.25","459.75","463.25","449.00","86.76K","-1.91%"
"02/19/2018","458.00","458.00","458.00","458.00","","0.00%"
"02/18/2018","458.00","458.00","458.00","458.00","","0.05%"
"02/16/2018","457.75","463.50","464.50","456.75","69.87K","-0.87%"
"02/15/2018","461.75","455.75","463.50","452.25","79.65K","1.32%"
